65.8,8.1,4133879
67.2,10.0,4133880
67.4,5.7,4133894
71.0,6.8,4133896
71.4,5.3,4133898
72.6,7.3,4133925
74.2,6.6,4133926
74.3,3.9,4133934
74.8,6.6,4133934
74.7,3.8,4133934
74.8,5.7,4133936
74.9,7.3,4133969
77.0,6.2,4133973
77.1,5.2,4133975
77.6,6.5,4133983
78.4,5.6,4133986
78.8,6.7,4133989
79.2,7.7,4133990
79.3,5.8,4134008
80.3,7.9,4134010
80.1,8.4,4134043
80.8,8.5,4134056
80.9,6.5,4134057
80.9,7.8,4134057
81.3,6.7,4134058
81.4,7.1,4134072
81.9,6.5,4134075
82.0,8.2,4134103
83.1,10.5,4134114
83.9,9.3,4134116
83.9,7.5,4134116
84.0,6.7,4134117
84.2,8.4,4134172
85.0,7.7,4134188
85.6,9.5,4134192
84.2,8.9,4134193
84.3,8.1,4134220
84.7,8.0,4134221
84.9,7.9,4134222
85.0,7.8,4134224
85.0,5.3,4134225
85.2,2.5,4134225
85.1,2.6,4134225
85.1,3.8,4134226
85.0,8.4,4134227
85.0,7.2,4134228
84.9,7.4,4134228
85.0,9.8,4134296
86.6,9.4,4134298
86.7,7.5,4134298
86.7,10.0,4134319
87.6,9.8,4134335
86.3,10.5,4134345
87.0,9.1,4134345
87.0,10.4,4134347
87.0,7.2,4134347
87.0,8.1,4134347
87.1,9.1,4134350
87.2,7.1,4134353
87.3,8.8,4134354
