65.8,5.6,1629711
66.2,8.2,1629711
66.5,10.8,1629712
66.3,7.7,1629712
66.3,8.1,1629715
66.3,5.5,1629715
66.1,9.9,1629715
66.4,11.1,1629715
66.1,10.4,1629715
66.3,7.2,1629715
66.1,9.1,1629715
66.5,7.7,1629715
66.3,9.5,1629719
66.1,11.3,1629724
66.4,10.1,1629730
66.2,10.8,1629730
66.4,10.7,1629730
66.2,9.7,1629730
66.5,11.2,1629730
66.2,9.7,1629730
66.5,10.2,1629730
66.3,9.1,1629731
66.5,9.4,1629731
66.3,9.7,1629732
66.6,7.9,1629734
66.5,7.2,1629734
66.6,9.5,1629736
66.5,9.6,1629736
66.3,9.0,1629736
66.5,8.9,1629737
66.4,7.9,1629737
66.5,9.9,1629737
66.4,8.8,1629737
66.5,10.1,1629738
66.4,8.2,1629740
66.6,9.6,1629740
66.4,8.6,1629741
66.2,11.4,1629742
66.5,7.0,1629742
66.3,10.6,1629742
66.5,7.8,1629743
66.2,9.9,1629745
66.4,12.9,1629746
66.7,10.2,1629748
66.5,7.6,1629751
66.5,9.1,1629751
66.6,6.9,1629751
66.4,5.9,1629751
66.7,7.2,1629751
66.6,10.8,1629751
66.7,9.4,1629751
66.5,11.9,1629751
66.8,7.8,1629752
66.7,9.6,1629767
66.9,9.3,1629771
66.7,8.9,1629776
66.8,8.7,1629776
66.7,7.4,1629776
66.5,8.7,1629776
66.8,6.8,1629776
