66.1,7.7,1628710
66.3,2.8,1628710
66.3,2.6,1628710
66.2,3.3,1628710
66.3,4.1,1628711
66.2,1.3,1628713
66.2,1.3,1628713
66.2,2.2,1628715
66.2,1.4,1628715
66.2,1.8,1628715
66.1,4.1,1628715
66.1,3.2,1628715
66.1,3.4,1628715
66.1,2.3,1628715
66.1,4.8,1628718
66.2,3.0,1628719
66.2,3.2,1628719
66.1,4.3,1628719
66.1,2.5,1628719
66.1,1.8,1628719
66.1,1.7,1628719
66.1,1.7,1628719
66.1,3.2,1628719
66.0,3.0,1628719
66.3,3.1,1628721
66.3,4.3,1628722
66.1,5.4,1628722
66.2,4.6,1628722
66.2,4.1,1628722
66.2,3.1,1628722
66.2,6.5,1628722
66.2,5.1,1628723
66.2,7.1,1628725
66.2,5.8,1628726
66.2,6.1,1628730
66.2,4.7,1628732
66.1,4.9,1628733
66.3,6.0,1628733
66.3,3.9,1628733
66.3,4.7,1628733
66.3,5.1,1628733
66.0,5.8,1628733
66.0,4.4,1628737
66.0,2.6,1628740
66.0,2.8,1628746
66.0,2.3,1628749
66.0,2.3,1628749
66.0,5.0,1628749
66.0,1.9,1628749
65.9,6.9,1628749
66.0,3.5,1628749
66.0,5.2,1628749
66.0,3.3,1628749
66.0,1.6,1628749
66.0,1.8,1628752
66.0,3.5,1628753
66.0,6.2,1628753
65.9,6.0,1628753
66.0,6.5,1628753
66.0,4.9,1628753
